year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2018,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНА ЕНЕРГЕТИЧНА КОМПАНІЯ ""УКРЕНЕРГО""",00100227,ДП,працює,,2.0,142.0,1.0,99.4,0.0,111.2,1.0,,0.0,,0.0,117.5,1.0,146.4,5.0,1.4,1.0,0.7,0.0,0.4,0.0,37.3,1.0,,,12.0,задовільна
2018,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ІНСТИТУТ ІНЖЕНЕРНИХ ВИШУКУВАНЬ І ДОСЛІДЖЕНЬ ""ЕНЕРГОПРОЕКТ""",00113968,ДП,працює,100.0,0.0,155.9,1.0,57.4,0.0,0.0,0.0,4.4,0.0,,0.0,16.3,0.0,-6806.1,0.0,0.9,0.0,3.1,1.0,0.7,1.0,78.7,0.0,,,3.0,неефективна
2018,12,"ДП ""Український проектний та конструкторсько-технологічний інститут  ""Атоменергобудпроект""",00113980,ДП,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,12,"Державний Проектно-Вишукувальний та Науково-Дослідний Інститут ""Укренергомережпроект""",00114092,ДП,працює; звітність не надано,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,12,"Державне підприємство ""Львівське конструкторське бюро""",00130044,ДП,працює,,2.0,87.1,0.0,86.6,0.0,86.1,0.0,103.5,1.0,0.0,0.0,100.0,1.0,132.0,5.0,1.4,1.0,0.8,0.0,0.5,1.0,50.1,1.0,,,12.0,задовільна
2018,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ВИСОКИХ НАПРУГ""",00130441,ДП,працює; перебуває у процедурі банкрутства - розпорядження майном,100.0,0.0,,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,136.7,0.0,0.4,0.0,-0.4,0.0,-0.7,0.0,84.7,0.0,,,0.0,неефективна
2018,12,"ДП ""Лисичанська ТЕЦ""",00131067,ДП,не працює; перебуває у процедурі банкрутства - ліквідація; Судове рішення про відміну державної реєстрації припинення юридичної особи №20Б/5014/2055/2012 від 04.07.2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,12,"Державне підприємство з комплектної поставки устаткування ""Укренергокомплект""",00132842,ДП,не працює,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,12,"ДП ""ПУГР""",00147921,ДП,працює,,2.0,142.3,1.0,137.2,1.0,93.6,0.0,79.5,0.0,,,12.0,0.0,-6.2,5.0,4.2,1.0,4.1,1.0,0.8,1.0,93.1,0.0,,,12.0,задовільна
2018,12,"Державне підприємство Український науково-дослідний інститут нафтопереробної промисловості ""МАСМА""",00149943,ДП,не працює; перебуває у процедурі банкрутства - розпорядження майном,,,,,,,,,,,,,,,,,,,,,,,,,,,,
