year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2019,6,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ІНСТИТУТ ІНЖЕНЕРНИХ ВИШУКУВАНЬ І ДОСЛІДЖЕНЬ ""ЕНЕРГОПРОЕКТ""",00113968,ДП,працює,100.0,0.0,132.9,1.0,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,73.6,3.0,0.59,0.0,2.82,1.0,0.74,1.0,81.16,0.0,,0.0,6.0,неефективна
2019,6,"Державне підприємство ""Львівське конструкторське бюро""",00130044,ДП,працює,0.0,2.0,131.2,1.0,114.3,1.0,107.5,1.0,94.0,0.0,0.0,0.0,120.0,1.0,138.5,5.0,2.49,1.0,2.81,1.0,0.74,1.0,50.43,1.0,,0.0,15.0,ефективна
2019,6,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ВИСОКИХ НАПРУГ""",00130441,ДП,працює; перебуває у процедурі банкрутства - розпорядження майном,0.0,2.0,0.0,0.0,,,,,,,,,,,76.6,3.0,0.4,0.0,-0.5,0.0,-0.81,0.0,84.69,0.0,,0.0,5.0,неефективна
2019,6,"ДП ""ПУГР""",00147921,ДП,працює,0.0,2.0,115.9,1.0,133.8,1.0,0.0,0.0,0.3,0.0,0.0,0.0,384.0,1.0,-2.8,0.0,3.49,1.0,3.14,1.0,0.76,1.0,94.0,0.0,,0.0,8.0,задовільна
2019,6,"ДП""Львівдіпронафтохім""",00150113,ДП,працює,0.0,2.0,138.6,1.0,167.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6,3.0,1.03,1.0,0.07,0.0,0.06,0.0,94.27,0.0,,0.0,8.0,задовільна
2019,6,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДАШАВСЬКИЙ ЗАВОД КОМПОЗИЦІЙНИХ МАТЕРІАЛІВ""",00152402,ДП,працює,0.0,2.0,72.3,0.0,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1753.6,0.0,2.98,1.0,2.86,1.0,0.73,1.0,83.24,0.0,,0.0,7.0,неефективна
2019,6,ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,00159367,ДП,працює,158.8,,105.8,1.0,95.3,0.0,100.0,1.0,0.0,0.0,0.0,0.0,60.8,0.0,208.1,5.0,3.27,1.0,4.33,1.0,0.58,1.0,71.35,0.0,,0.0,10.0,задовільна
2019,6,Восьмий воєнізований гірничорятувальний загін,00159427,ДП,працює,0.0,2.0,120.7,1.0,112.1,1.0,100.0,1.0,0.0,0.0,0.0,0.0,8.5,0.0,477.5,5.0,104.84,1.0,132.6,1.0,0.62,1.0,64.5,1.0,,0.0,14.0,ефективна
2019,6,ДЕСЯТИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,00159462,ДП,працює,0.0,2.0,107.0,1.0,77.7,0.0,100.0,1.0,0.0,0.0,0.0,0.0,115.1,1.0,46.0,1.0,23.22,1.0,27.55,1.0,0.55,1.0,62.18,1.0,,0.0,10.0,задовільна
2019,6,"ДЕРЖАВНЕ ПІДПРИЄМСТВО""ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ, ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ І ПРОЕКТНИЙ ІНСТИТУТ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ""УКРНДІПРОЕКТ""",00174125,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,112.2,1.0,,,,,,,,,,,37.8,3.0,2.88,1.0,4.12,1.0,0.8,1.0,81.8,0.0,,0.0,9.0,задовільна
2019,6,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НОВОВОЛИНСЬКИЙ РЕМОНТНО-МЕХАНІЧНИЙ ЗАВОД""",00179000,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,34.8,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.3,0.0,0.25,0.0,-0.44,0.0,-0.79,0.0,95.07,0.0,,0.0,2.0,неефективна
2019,6,"ДП ""ДИРЕКЦІЯ  ПО БУДІВНИЦТВУ  ОБ''ЄКТІВ""",00179737,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0,0.0,5.89,1.0,12.96,1.0,0.05,0.0,32.31,1.0,,0.0,5.0,неефективна
2019,6,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНИЙ ЦЕНТР ""ВУГЛЕІЗОТОП""",00186022,ДП,працює,0.0,2.0,131.7,1.0,96.1,0.0,83.3,0.0,550.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.84,0.0,-0.08,0.0,-0.09,0.0,87.16,0.0,,0.0,9.0,задовільна
2019,6,"Державне підприємство ""Волиньторф""",00426302,ДП,працює,0.0,2.0,107.8,1.0,184.1,1.0,0.0,0.0,64.8,0.0,0.0,0.0,96.8,0.0,-176.1,0.0,1.54,1.0,7.03,1.0,0.79,1.0,74.68,0.0,,0.0,7.0,неефективна
2019,6,"УКРАЇНСЬКА ІНСПЕКЦІЯ ПО КОНТРОЛЮ ЯКОСТІ ТОРФЯНОЇ ПРОДУКЦІЇ І ПАЛИВНИХ БРИКЕТІВ ""УКРІНСПАЛИВО""",01886833,ДП,працює,0.0,2.0,98.9,0.0,93.5,0.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.69,0.0,-0.31,0.0,-0.46,0.0,100.0,0.0,,0.0,9.0,задовільна
2019,6,"Державне підприємство ""Управління відомчої воєнізованої охорони""",02072239,ДП,працює,0.0,2.0,125.0,1.0,153.4,1.0,332.4,1.0,998.9,1.0,0.0,0.0,124.6,1.0,228.6,5.0,1.18,1.0,-0.01,0.0,-0.01,0.0,81.57,0.0,,0.0,13.0,ефективна
2019,6,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЖИТОМИРТОРФ""",02968154,ДП,працює,100.0,0.0,134.8,1.0,163.7,1.0,100.0,1.0,0.0,0.0,0.0,0.0,249.0,1.0,-8.5,5.0,0.45,0.0,-0.25,0.0,-0.21,0.0,75.87,0.0,,0.0,9.0,задовільна
2019,6,"Державне підприємство""КИЇВТОРФ""",02968177,ДП,працює,79.3,1.0,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.1,0.0,0.14,0.0,0.1,0.0,0.07,0.0,31.71,1.0,,0.0,2.0,неефективна
2019,6,"Державне підприємство ""Рівнеторф""",02968193,ДП,працює,0.0,2.0,151.6,1.0,182.9,1.0,216.9,1.0,174.9,1.0,0.0,0.0,244.3,1.0,172.7,5.0,2.48,1.0,3.92,1.0,0.7,1.0,71.85,0.0,,0.0,15.0,ефективна
