year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2018,9,"ДП ""Національна енергетична компанія ""Укренерго"" ",00100227,,працює; перебуває у процедурі реорганізації,,2.0,145.68790397045245,1.0,100.06580648521751,1.0,115.56925912283968,1.0,,0.0,,,109.32187747470958,1.0,113.30867134623126,5.0,2.6,1.0,0.61,0.0,0.38,0.0,40.1,1.0,,,13.0,ефективна
2018,9," ""Державний проектно-вишукувальний та науково-дослідний інститут ""Укренергомережпроект""",00114092,,працює; звітність не надано,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Державний науково-дослідний і проектно-конструкторський інститут інноваційних технологій в енергетиці та енергозбереженні""",13685287,,не працює; перебуває у процедурі банкрутства - розпорядження майном,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Науково-дослідний та проектний інститут ""Укрдіпрогазоочистка""",00219388,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Львівське конструкторське бюро""",00130044,,працює,,2.0,83.64589635007057,0.0,69.91279069767442,0.0,85.71428571428571,0.0,117.46031746031747,1.0,,,133.33333333333331,1.0,105.88235294117648,5.0,1.6,1.0,1.3,1.0,0.6,1.0,49.7,1.0,,,13.0,ефективна
2018,9," ""Державний науково-дослідний інститут теплоенергетики (НДІТЕ)""",04775287,,не працює; АТО,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Науково-дослідний інститут високих напруг""",00130441,,працює; перебуває у процедурі банкрутства - розпорядження майном,126.59941482160792,0.0,100.18309429356118,1.0,12.225605599236467,0.0,,0.0,,0.0,,,4.0650406504065035,0.0,100.0,0.0,0.4,0.0,-0.4,0.0,0.7,1.0,84.7,0.0,,,2.0,неефективна
2018,9,"ДП ""Харківський науково-дослідний інститут комплексної автоматизації""",14072049,,працює,,2.0,146.00827300930715,1.0,100.44843049327355,1.0,104.02884654123525,1.0,,0.0,,,70.21390374331551,0.0,44.49441687344913,1.0,13.1,1.0,16.6,1.0,0.9,1.0,29.0,1.0,,,10.0,задовільна
2018,9,"Державне підприємство з науково-технічних робіт по енергозбереженню в електроенергетиці ""Укренергоефективність""",21632715,,не працює; перебуває у процедурі реорганізації,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"Державне підприємство з комплектної поставки устаткування ""Укренергокомплект"" ",00132842,,не працює,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"Державне підприємство з впровадження та налагодження засобів електронних вимірювань ""Укренергоналадкавимірювання""",13668596,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"Державне науково-виробниче підприємство ""Вітроенергосервіс""                                                                                 ",25131631,,не працює; перебуває у процедурі реорганізації; АРК,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Екоенергопром""",30074244,,не працює; АТО,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"Запорізьке державне науково-виробниче підприємство ""Система""",04883574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Укренерготехцентр""",04802593,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Дніпровибухпром""",20588567,,не працює,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Лабораторія великомасштабних гідравлічних і геотехнічних досліджень""",19096505,,не працює,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Центр промислових технологій"" ",31351690,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Український галузевий науково-інженерний центр ""Укренергодіагностика""",25805041,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""ТЕЦ - 2 ""ЕСХАР"" ",30034023,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Зуївська експериментальна теплоелектроцентраль"" ",04623778,,не працює; перебуває у процедурі банкрутства - ліквідація; АТО,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9," ""Державне Донбаське підприємство з пуску, налагоджування, удосконалення технології та експлуатації електростанцій та мереж"" (ДОНОРГРЕС) ",04624513,,працює,83.82027833001987,1.0,102.12588578574406,1.0,51.25818330605565,0.0,70.0,0.0,153.33333333333334,1.0,,,637.5,1.0,350.0,5.0,1.6,1.0,0.9,0.0,"0,5",1.0,89.9,0.0,,,11.0,задовільна
2018,9,"ДП ""Донузлавська вітрова електростанція"" ",30459364,,не працює; перебуває у процедурі реорганізації; АРК,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Кримські генеруючі системи"" ",30909683,,не працює; АРК,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Регіональні електричні мережі""",32402870,,працює; перебуває у процедурі банкрутства - розпорядження майном,180.34151535005614,0.0,138.9254810796849,1.0,96.03983414277415,0.0,,0.0,,0.0,,,,0.0,,0.0,0.76,0.0,-0.23,0.0,-0.3,0.0,95.53,0.0,,,1.0,неефективна
2018,9,"ДП ""Науково-виробничий центр ""Укренергоінформатизація"" ",13672008,,не працює; перебуває у процедурі банкрутства - розпорядження майном,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2018,9," Об’єднання енергетичних підприємств ""Галузевий резервно-інвестиційний фонд розвитку енергетики""",21677681,,працює,,2.0,204.5013110614742,1.0,,,,,,,,,,,,,27.4,1.0,1.4,1.0,0.6,1.0,81.8,0.0,,,6.0,неефективна
2018,9,"Державне підприємство зовнішньоекономічної діяльності ""Укрінтеренерго""",19480600,,працює,,2.0,165.26579777330244,1.0,104.87336487614807,1.0,100.0,1.0,,0.0,,,100.5685407454201,1.0,7.830456068023706,1.0,11.9,,16.7,1.0,0.9,1.0,38.4,1.0,,,10.0,задовільна
2018,9,"ДП ""Спеціалізований консалтинговий центр"" ",32620720,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Спеціалізований центр підготовки кадрів""",04642416,,працює,37.2572334522394,1.0,110.77602059580728,1.0,188.36930455635493,1.0,44.827586206896555,0.0,209.30232558139537,1.0,,,,0.0,18.97810218978102,1.0,0.4,0.0,0.8,0.0,0.4,0.0,96.9,0.0,,,5.0,неефективна
2018,9,"ДП ""Управління відомчої воєнізованої охорони""",02072239,,працює,,2.0,119.56035009159373,1.0,186.64758269720102,1.0,316.0888888888889,1.0,196.4920597297938,1.0,,,359.47712418300654,1.0,955.9139784946236,5.0,0.8,0.0,-0.1,0.0,-0.2,0.0,87.7,0.0,,,12.0,ефективна
2018,9,"ДП ""Науково-дослідний проектний і впроваджувальний центр організації праці в енергетиці та енергобудівництві ""Укренергопраця"" (НДПІВЦ ""Укренергопраця"")",04624536,,працює,,2.0,44.49265687583445,0.0,33.29369797859691,0.0,,0.0,100.0,1.0,,,,0.0,,0.0,0.4,0.0,-0.6,0.0,-1.7,0.0,99.4,0.0,,,3.0,неефективна
2018,9,"ДП ""Агенція з питань нерухомості та земельних відносин в паливно-енергетичному комплексі України""",38881646,,працює; звітність не надано,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Спеціалізована база з комплексної поставки електроенергетичного обладнання""",39769130,,працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Калуська теплоелектроцентраль-нова""",40885849,,працює,,2.0,123.44742413549753,1.0,106.08738286241659,1.0,139.93558776167473,1.0,100.0,1.0,,,65.70367716509787,0.0,5.400086997949334,1.0,1.4,1.0,1.3,1.0,0.6,1.0,44.3,1.0,,,11.0,задовільна
2018,9,"ДП ""Національна атомна енергогенеруюча компанія  ""Енергоатом""  ",24584661,,працює,,2.0,124.76871320437343,1.0,101.93730682434119,1.0,100.0,1.0,100.0,1.0,,,150.57033671441565,1.0,,5.0,1.2,1.0,1.5,1.0,0.6,1.0,68.1,1.0,,,16.0,ефективна
2018,9,"Державний концерн ""Ядерне паливо""",36282830,,працює,,2.0,230.98396051819864,1.0,,,124.0,1.0,185.0,1.0,,,,0.0,206.66666666666669,5.0,1.3,1.0,67.2,1.0,1.0,1.0,46.1,1.0,,,14.0,ефективна
2018,9,"ДП ""Східний гірничо-збагачувальний комбінат""",14309787,,працює,,2.0,162.88593205012273,1.0,91.81100122555686,0.0,100.0,1.0,107.4316316228436,1.0,,,63.764334975369465,0.0,6.913733950717297,1.0,0.7,0.0,0.2,0.0,0.1839732761719308,0.0,55.920712278404245,1.0,,,7.0,неефективна
2018,9,"ДП ""Смоли""",30168850,,працює,,2.0,109.79832572298325,1.0,71.0306620422946,0.0,,0.0,100.0,1.0,,,3.6353467561521255,0.0,,0.0,0.9,0.0,0.1,0.0,0.1,0.0,88.6,0.0,,,4.0,неефективна
2018,9,"ДП ""Український науково-дослідний та проектно-розвідувальний інститут промислової технології""",14310483,,працює,61.016621569385386,1.0,131.70933113129644,1.0,87.9616724738676,0.0,,0.0,14.423076923076922,0.0,,,,0.0,,3.0,0.9009026128266033,0.0,0.37102137767220905,0.0,0.27061677061677064,0.0,77.91483113069016,0.0,,,5.0,неефективна
2018,9," ""Севастопольський національний університет ядерної енергії та промисловості""  ",33729375,,не працює; АРК,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Київський інститут інженерних вишукувань і досліджень ""Енергопроект"" ",00113968,,працює,61.80888114932521,1.0,160.02737850787133,1.0,44.6,0.0,,0.0,6.1,0.0,,,44.4,0.0,,0.0,0.9,0.0,2.5,1.0,0.7,1.0,78.6,0.0,,,4.0,неефективна
2018,9,"ДП ""Український проектний і конструкторсько-технологічний інститут ""Атоменергобудпроект""",00113980,,працює; перебуває у процедурі у ліквідації за рішенням органу влади,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Інженерно-технічний центр по підготовці кадрів для атомної енергетики""",22962805,,працює; звітність не надано,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Центральне підприємство з переробки радіоактивних відходів"" ",20614632,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"Державне науково-виробниче підприємство ""Цирконій""",25012091,,працює; перебуває у процедурі банкрутства - санація,,2.0,86.42669217890457,0.0,,,,,,,,,,,,3.0,0.03,0.0,-0.9,0.0,-12.6,0.0,81.2,0.0,,,5.0,неефективна
2018,9,"ДП ""Придніпровський гідрометалургійний завод""                             ",30168729,,не працює; перебуває у процедурі банкрутства - ліквідація,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2018,9,"ДП ""Виробниче конструкторсько-технологічне підприємство ""Ремтехнологія""",16505624,,не працює; АРК,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2018,9,"ДП  ""ТВЕЛ""                                                            ",20273384,,не працює,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2018,9,"ДП  ""Кримський науково-інженерний центр""",13790848,,працює,,2.0,45.19502543810062,0.0,3.9705882352941173,0.0,,0.0,,0.0,,,,0.0,,0.0,5.0,1.0,4.1,1.0,0.8,1.0,87.9,0.0,,,5.0,неефективна
2018,9,"ДП ""Державна будівельно- промислова компанія ""Атомспецбуд""",23579847,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Чорнобильпроменергобуд""                                         ",25301719,,працює,,2.0,120.23669708194055,1.0,526.6818181818181,1.0,208.69565217391303,1.0,211.76470588235296,1.0,,,84.25925925925925,0.0,171.42857142857142,5.0,1.1,1.0,0.1,0.0,0.1,0.0,78.9,0.0,,,12.0,ефективна
2018,9,"ДП ""Бар`єр""",31330051,,працює,166.12060778727448,0.0,89.13122062899144,0.0,128.36879432624113,1.0,,0.0,,0.0,,,,0.0,,0.0,0.1,0.0,-0.3,0.0,-0.5,0.0,64.0,1.0,,,2.0,неефективна
2018,9,"ДП ""Магніт""                                                                           ",31523493,,не працює; перебуває у процедурі банкрутства - ліквідація,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Сенсоркомплект"" ",31645168,,не працює,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9,"ДП ""Державний науково-інженерний центр систем контролю та аварійного реагування"" ",24249112,,працює,,2.0,114.7898563575102,1.0,332.88014311270126,1.0,338.2488479262673,1.0,,0.0,,,7165.384615384616,1.0,97.34748010610079,1.0,2.0,1.0,1.8,1.0,0.6,1.0,36.5,1.0,,,11.0,задовільна
2018,9,"ДП ""Машкомплект""",24929947,,не працює,,,,,,,,,,,,,,,,,,,,,,,,,,,,
